file.name,peak.number,85.1327_TMAO-d9,180.1216_Cotinine-d3,182.1373_Nicotine-N-oxide-d3,184.0774_F-Phe,216.9548_Bromohypoxanthine,319.1737_Oxcodone-d3,378.1968_Trazodone-d6,392.2248_Quetiapine-d8,415.2447_Risperidone-d4,114.0667_Creatinine,117.0856_Creatinine-d3,130.1093_Metformin,136.1126_Amphetamine,150.1283_MethamphetaminePhentermine_1st,150.1283_MethamphetaminePhentermine_2nd,160.1_Pregabalin interference,160.13_Pregabalin interference,160.1338_Pregabalin_2nd,166.09_Pseudoephedrine interference,166.12_Pseudoephedrine interference,166.1232_Pseudoephedrine,172.1338_Gabapentin,177.1028_Cotinine,"180.1025_3,4-Methylenedioxyamphetamine_2nd",193.0977_Hydroxycotinine,"194.1181_3,4-Methyl​enedioxy​methamphetamine",200.1287_Ecgonine,"208.1338_3,4-Methylenedioxy-N-ethylamphetamine",216.0427_Cl-Tyr,233.1654_Norfentanyl,234.1494_Methylphenidate,240.1155_Bupropion,248.1651_Meperidine,256.0157_Lamotrigine,256.1104_Hydroxybupropion,256.1701_Diphenhydramine,258.0127_37Cl Lamotrigine,266.1657_Mirtazapine,276.13_EDDP surrogate interference,278.16_EDDP surrograte,278.1909_EDDP_1st,278.212_Venlafaxine_2nd,282.07_Nitrazepam surrogate,282.0879_Nitrazepam,285.0795_Diazepam,286.0747_7-Aminoclonazepam,286.1443_Hydromorphone_1st,286.1443_Morphine_2nd,287.0587_Oxazepam_2nd,300.16_Hydrocodone_1st,300.16_Codeine_2nd,301.0744_Temazepam,302.1392_Oxymorphone,306.0816_Sertraline,308.15_Zolpidem surrogate,308.1763_Zolpidem_2nd,308.2014_Benztropine_1st,310.1419_Fluoxetine,310.2171_Methadone,313.1487_Olanzapine,316.0489_Clonazepam,316.1549_Oxycodone,319.1036_Chlorpromazine,321.0198_Lorazepam,325.0449_Lorazepam-d4,328.1549_6-Acetylmorphine_1st,328.1549_Naloxone_2nd,330.1505_Paroxetine,337.228_Fentanyl,342.1705_Naltrexone,353.1349_Cotinine glucuronide,372.1591_Trazodone,376.148_Haloperidol,380.1731_Haloperidol-d4,384.1746_Quetiapine,389.1129_Zopiclone,404.1563_Perphenazine,411.2196_Risperidone,448.1559_Aripiprazole,468.3114_Buprenorphine
,12,2661389.685,3204314.951,2239822.099,3755579.011,348319.0366,601638.5568,391977.0032,441085.0128,880362.7762,92130756.56,2147595.07,143786.2497,NPD,Interfered,NPD,<LOD,448870.3171,91340.06228,490141.1401,341576.3166,Interfered,4223.150595,19748.85989,46938.68528,8882.959383,NPD,<LOD,13825.76969,1800584.091,52025.93933,7572.1142,NPD,<LOD,13152.58196,25016.22383,93731.95188,8194.987124,54177.41303,<LOD,NPD,NPD,5813.644433,NPD,3521.112279,8113.462953,Interfered,NPD,Interfered,42022.35177,14925.52989,3756.319501,25681.9019,26715.25259,NPD,Interfered,Interfered,Interfered,<LOD,25343.82038,12638.56452,8610.173183,NPD,NPD,2949.14234,NPD,4121.452939,3770.646984,5446.340142,<LOD,NPD,NPD,<LOD,<LOD,468960.3882,<LOD,2241.079867,5532.933634,10179.10441,33087.36692,<LOD
,13,2716241.251,3029316.426,2380041.228,3236461.713,432556.0136,672200.2694,524954.4029,587113.6685,932503.6943,16987.80963,<LOD,421439.4814,524609.3102,709244.9211,566936.071,8755.76987,21832.95295,283452.0805,15763.56555,717793.7829,Interfered,500387.2755,245459.8581,494840.0421,488986.3706,557550.9709,350926.7635,696547.9105,1576025.893,313163.7871,548786.1193,336056.6216,1044753.852,195344.9528,230840.8418,367971.4575,132588.8377,163796.0774,2351.376243,146404.3967,828585.9528,575614.8158,NPD,NPD,495597.9094,Interfered,192713.2878,215249.8099,354979.1232,331063.5163,291748.1919,290185.5062,181683.5898,168637.6958,117569.3088,525633.5148,Interfered,559605.4581,2166374.625,285480.763,150305.7653,345085.8208,91463.23322,257045.8204,311144.6406,140713.7604,208744.8665,313513.442,836645.9322,239916.6953,272359.1375,138711.4478,163296.9618,687991.1132,163162.9146,128254.289,102283.1039,238072.3952,45547.76265,153496.9886
20240910_05,1,2755417.204,3611148.256,2950306.105,3114045.908,809004.5796,533421.5557,422219.2343,434216.0618,528436.4301,<LOD,62770.98195,304513.6875,145173.9247,279245.6537,Interfered,13475.66771,12093.02876,140615.4719,476560.2772,26115.08188,179847.7313,173763.1033,128106.7147,125367.5727,153576.1465,210393.4803,133796.2589,242180.2082,1559619.028,177926.6765,278394.9404,140910.167,332710.0353,85506.65265,126565.3551,175168.9635,47482.16156,151910.3708,20934.77512,28288.25482,361035.0997,253084.735,36313.13772,Interfered,189665.9249,66649.20253,61810.58085,Interfered,NPD,100037.141,91150.02176,142642.5804,83793.74974,38245.10673,44963.6759,Interfered,181661.4949,145959.203,594880.4166,170472.1488,95636.21203,105103.5717,46602.79684,34171.98627,220401.0172,61132.15256,72353.17981,102219.1263,285803.0616,86733.12616,94179.75354,51029.74163,50229.28228,513568.9423,61814.20243,56283.4579,29414.41419,56162.21082,5453.721423,49220.81015
,2,2092151.433,2978136.699,2635879.91,3739112.753,721380.4136,655448.3011,360215.3149,370846.6114,846999.5292,29713566.36,1948580.774,64610.32839,NPD,Interfered,NPD,647337.379,23057.99595,204619.8395,424147.7897,123442.5141,NPD,<LOD,14454.59687,13789.00985,10651.4682,<LOD,NPD,NPD,1815808.341,6435.602997,<LOD,5940.435288,15367.84008,8490.505921,10913.3537,5514.475699,<LOD,96987.07514,296126.3004,<LOD,NPD,7186.23039,<LOD,12269.20807,4676.007649,NPD,13511.75744,NPD,<LOD,34891.23352,5880.86478,<LOD,12170.66562,NPD,NPD,Interfered,Interfered,NPD,NPD,<LOD,<LOD,9648.431845,NPD,NPD,116510.7919,22903.96793,7057.157632,NPD,16125.5025,NPD,6936.249891,NPD,NPD,314846.0844,NPD,<LOD,7177.123693,24188.45997,2758.477695,NPD
,3,1886831.822,3020659.526,2984209.378,3689951.874,851449.8266,742342.3356,429888.9554,515461.2638,951673.906,417602309.4,764193.3259,18628.45069,5102429.466,5201.070951,<LOD,267378.0497,392000.4832,128493.7403,2849403.028,53975.78265,6568.17144,28087.65629,11030.42895,NPD,10549.54469,3507.245407,7349.852418,NPD,1932314.353,78173.51558,NPD,3077.349021,NPD,NPD,26771.73725,<LOD,NPD,114568.2067,129319.447,7937.491993,<LOD,11211.76846,18108.72854,Interfered,<LOD,Interfered,5923.438712,Interfered,4585.509144,12777.60439,5650.232346,NPD,16195.3682,NPD,Interfered,Interfered,Interfered,3173.463853,NPD,<LOD,13846.70641,NPD,NPD,NPD,139109.4144,NPD,3376.392293,NPD,13528.91681,NPD,<LOD,NPD,<LOD,481466.1508,4889.184322,3036.871935,6332.191992,20233.21295,3016.301203,3257.902988
,4,2249543.861,2941870.248,2795028.492,3824748.519,887169.4849,630847.1679,397620.1488,456719.8484,906660.8888,68330341.61,2667078.764,44461.42231,Interfered,NPD,NPD,88677.66586,87751.8291,16009.83238,699205.8818,58745.56881,74202.81357,8123.355653,26210.26266,60024.38361,44532.20751,NPD,NPD,20389.06275,2014802.271,33952.02416,8398.448901,<LOD,30183.87759,847073.3894,NPD,42636.49424,577701.5094,54340.68107,60457.29454,12748.06633,NPD,28732.41179,1731.754949,Interfered,<LOD,Interfered,125143.6678,Interfered,<LOD,12886.8246,28398.90799,3120.778644,44662.61953,1318.404311,NPD,Interfered,Interfered,352106.6494,622225.6865,10108.78885,1323.333067,NPD,NPD,1703.928553,122306.5888,5090.822663,4791.438633,NPD,NPD,9812.79774,79339.04124,NPD,<LOD,531654.3219,12319.41259,NPD,8647.743285,17733.9335,1526.124905,2427.392621
,5,2129026.745,2679534.046,1906622.4,3564596.243,782823.16,592786.849,361211.8932,358492.8756,744168.1269,50177915.85,2522006.034,65619.16478,18554.80825,NPD,<LOD,2659.260778,58916.41949,8976.843428,719598.7913,98138.12784,NPD,<LOD,35711.1055,98782.42655,11226.01837,NPD,10283.72787,6832.847097,1835234.326,41263.29071,11371.92223,NPD,321663.4675,284818.0986,<LOD,<LOD,190992.7713,29751.96848,49726.14106,20406.17909,41234.1964,7790.420596,<LOD,Interfered,<LOD,26227.84552,31594.90906,16635.45073,NPD,31605.48493,NPD,<LOD,48094.26871,2323.678039,14263.98052,Interfered,Interfered,6850.18746,50786.21773,14121.60351,1133.438549,8680.925298,17930.58747,2437.911082,115884.9727,9845.236829,7086.770694,<LOD,6078.613533,NPD,9370.399582,NPD,<LOD,360127.6908,Interfered,<LOD,6974.496291,7856.717337,3417.609826,7731.760394
,6,2486834.189,3050920.655,2302254.219,3433408.933,814478.5022,551972.4474,411240.4837,431263.2867,814970.4857,65640674.82,2276566.099,26784.03066,NPD,NPD,Interfered,122481.1876,113764.6743,NPD,782878.9805,160293.4417,21269.00797,<LOD,136896.8013,21107.42256,455545.4674,31971.28396,6760.627568,7199.180657,1735884.83,31092.57924,20453.55098,2524.239552,NPD,318378.8425,4729.82078,Interfered,216306.5712,52163.09805,289331.5393,16154.6842,15213.37989,493692.3545,1459.784983,Interfered,4526.940336,Interfered,21838.41515,Interfered,7537.6627,16705.04351,NPD,NPD,21856.43313,1623.778782,NPD,Interfered,Interfered,4206.241032,55937.84542,9271.270125,1259.4008,NPD,<LOD,8157.605534,134630.4176,15091.31193,<LOD,4300.27637,<LOD,3452.92324,14870.48621,64390.87929,NPD,565976.7736,8846.650561,NPD,16586.60217,32576.11009,1975.809859,NPD
,7,2612034.575,3113236.068,2211778.524,3810076.548,877323.9378,702254.3179,390165.6006,391613.8599,1051019.618,119183975,2615839.619,53417462.07,Interfered,Interfered,NPD,84806.25461,426921.0656,12925.8054,960870.3001,162819.5465,6454.37869,8439.976683,14598.68845,183875.8987,6954.540869,3416.16701,12168.46798,NPD,1829045.407,29195.87218,45594.91095,174411.4611,22088.95662,4119.743334,678617.8068,6005.721403,1268.494935,68656.40265,5317485.553,NPD,NPD,4531.520538,<LOD,Interfered,<LOD,49264.66073,3959.379415,Interfered,<LOD,NPD,<LOD,26953.47721,4867.870785,5293.913,9007.617894,Interfered,Interfered,NPD,96487.6426,55631.59704,1126.161114,NPD,<LOD,2171.857023,126562.1757,<LOD,NPD,NPD,<LOD,NPD,6053.981621,7949.789888,<LOD,445489.1418,18490.93037,4155.732702,6933.516189,<LOD,2211.229283,4781.98365
,8,2102801.601,2651925.651,2483424.42,3180044.388,755934.3852,712464.691,360980.2482,426319.2921,898546.7456,89267410.17,2324716.798,422506.4153,122998.9021,427237.883,NPD,3067419.974,366289.5228,17549.19663,702045.85,1196214.661,2692.828443,3956.093125,57548.00068,134385.0284,184853.9579,<LOD,28508.57526,<LOD,1719998.118,29305.63205,NPD,9103.375849,80788.82712,NPD,22530.64355,26195.4828,NPD,11266.41906,42799.28548,6573.348278,NPD,259472.8617,1572.660334,Interfered,NPD,NPD,78955.09816,NPD,2588.654967,NPD,<LOD,6340.732312,21002.09199,NPD,Interfered,Interfered,Interfered,3085.518384,185512.9341,41714.26267,1671.004356,NPD,NPD,5292.338417,114948.5131,NPD,NPD,<LOD,7928.597406,NPD,105962.9879,<LOD,2153.985242,436668.5802,Interfered,3677.886475,<LOD,NPD,<LOD,NPD
,9,2289517.268,2707826.521,2169398.92,3357921.602,788542.2682,572466.0415,295449.8168,362408.0227,881823.3632,19641710.99,2624356.802,254515.7116,NPD,8606.585831,Interfered,107978.5294,82233.50206,NPD,695188.8145,273552.0129,NPD,NPD,181704.5989,162848.006,118211.1593,19876.26935,NPD,5476.861989,1745615.58,16260.19642,<LOD,NPD,130575.1842,1258.32985,18377.81111,5988.618392,2789.693661,NPD,50447.85019,NPD,NPD,4988.182081,5555.95193,Interfered,3970.665501,2753.486888,NPD,Interfered,<LOD,NPD,30846.44672,NPD,10794.63088,NPD,NPD,Interfered,Interfered,2678.745253,97548.14371,<LOD,1993.351362,<LOD,5004.358391,NPD,NPD,NPD,NPD,<LOD,NPD,<LOD,84963.54049,34710.57544,4074.689092,335434.6642,Interfered,<LOD,<LOD,<LOD,36268.5415,NPD
,10,2730699.925,2778282.837,1955469.873,3255728.706,802661.4834,568564.8691,352319.7038,361473.4673,890356.2915,43623199.56,2404713.965,167232.878,13928.71948,Interfered,NPD,23900.99454,128670.0483,9643.896199,194509.1084,279035.4804,<LOD,4407.736717,107729.8526,88082.46926,236116.1031,17781.51065,NPD,<LOD,1708866.834,51863.80415,NPD,6145.922452,27880.41969,NPD,3391.799563,NPD,1764.575281,14177.81621,108321.7276,NPD,NPD,6889.579791,2234.830418,Interfered,NPD,2863.576649,32721.88403,Interfered,6047.043946,10968.03592,34499.84983,20029.00191,18566.87551,3045.746416,NPD,9057.407,Interfered,NPD,73710.17597,<LOD,3791.550416,NPD,NPD,5067.68131,NPD,<LOD,NPD,NPD,11250.31611,NPD,176729.2544,104881.5098,8432.445114,349605.0942,Interfered,9662.524191,<LOD,<LOD,2290.60999,NPD
,11,2534715.538,2825918.773,2408808.002,3233665.572,320965.2717,417746.2801,355046.209,349220.1553,758537.8505,80814853.04,2211302.146,91712.63941,NPD,NPD,Interfered,7844.54374,81963.88296,4101.193935,293256.4273,299418.2542,16568.32841,12319.76579,187733.4371,15819.3391,990020.6032,82910.28835,14792.7491,NPD,1720075.109,35004.6114,NPD,9472.818534,NPD,49689.61236,6441.721492,62594.26085,32747.20554,65871.09355,47208.19635,NPD,<LOD,NPD,2531.560999,NPD,6229.273383,Interfered,12716.32937,7174.029451,14427.10667,NPD,6651.149169,12818.83814,6628.725242,NPD,NPD,Interfered,34019.62933,<LOD,89842.48687,43206.28775,22934.72657,<LOD,2499.517405,2480.752869,115269.2574,<LOD,NPD,NPD,8897.667969,4525.200321,32290.83226,10228.16021,14781.72616,399920.7941,Interfered,1966.834302,6943.740421,<LOD,<LOD,<LOD
,12,2299443.409,2940506.389,2352833.927,2765791.171,207205.1649,602801.3476,380265.7294,458412.0445,805664.4327,72244726.16,2216293.88,69128.02831,NPD,Interfered,NPD,574807.5878,468744.6437,NPD,329977.936,395755.0517,NPD,<LOD,27157.17298,189502.5332,<LOD,3415.213407,<LOD,4894.885272,1561820.298,41998.29467,NPD,NPD,9611.03632,200814.9546,35842.30291,Interfered,139478.7867,51603.32555,NPD,<LOD,NPD,6598.452206,7056.399627,NPD,NPD,<LOD,7290.890732,Interfered,71253.88938,NPD,3462.09929,6462.751813,16138.92803,NPD,Interfered,Interfered,Interfered,463125.2895,283956.5979,89685.1718,NPD,<LOD,NPD,NPD,117476.2705,<LOD,NPD,NPD,<LOD,4280.862007,NPD,<LOD,8295.746436,513568.9012,Interfered,48885.64161,<LOD,NPD,1749.174632,<LOD
,13,3056091.228,3259854.081,2715920.829,3032634.905,349422.9889,708153.6873,462062.6053,602847.0588,1161714.213,37271.87503,3978.519308,414865.9113,485298.288,779302.9657,528839.6386,6456.74451,99071.06172,277359.1893,75792.41997,236332.5566,637023.0801,498982.5502,233784.0376,447908.7345,468703.1889,603362.1107,269406.694,549940.9067,1544210.373,304178.836,573593.8876,318112.6103,1027832.652,195915.6961,253172.3268,414918.0815,136686.5877,167845.691,2618.851845,79765.94246,889581.1006,593725.6941,4054.048904,274054.7917,532128.032,Interfered,189408.8034,203237.6611,394319.919,331493.9618,308501.3872,321141.2216,188182.455,204750.1465,116811.4329,540107.7061,Interfered,591538.3932,1851590.282,279234.2796,NPD,320944.5396,111858.5714,2856.386621,155113.9529,162625.2108,215062.4085,367324.4638,746804.9364,228199.1426,264166.598,115859.3946,152054.5603,604143.5338,181069.7257,125265.7525,168478.0617,282345.3565,36340.28858,150707.8908
20240910_06,1,2734546.689,2597891.504,3049152.951,3219193.939,970698.5481,556900.9981,458011.412,441295.3747,484113.5565,32032.73016,39638.10548,281054.4749,159012.8911,251930.3592,Interfered,11324.19987,NPD,136395.6948,138163.3327,NPD,179334.4129,184249.6618,97811.25691,125108.4042,129993.6143,169062.1306,99576.06719,201706.3142,1651190.998,149483.9665,251460.2699,147841.4552,380425.1336,65281.30037,121148.6986,140843.4603,49489.86568,181402.8491,37309.36357,23315.86656,258111.2518,Interfered,40151.54794,Interfered,181827.6692,41131.44607,66442.65231,78501.80752,132683.069,94997.69992,97195.48862,NPD,<LOD,39050.32829,59319.80384,Interfered,225941.1957,143687.7554,486997.9499,192842.1172,87123.37439,116603.88,31174.42086,54493.44822,228719.0255,59584.40275,84118.13661,102992.0477,191541.4018,113117.3549,93615.66884,53932.4404,60227.11733,580279.3738,63654.24703,54874.03482,31336.89243,55170.08347,4344.333437,42274.41235
,2,2591881.117,2506570.111,2896653.864,3717143.757,850873.319,496758.7771,360333.9134,305191.409,842165.7273,45694.33657,15069.71827,15636259.22,NPD,Interfered,Interfered,53842.77417,30630.33379,7559048.099,431758.0233,138256.4022,268869.8954,6836.843431,8802.188896,9632.947899,NPD,3708.348024,19639.2779,NPD,1894778.308,36714.32185,99522.35283,27796.14665,16467.42949,1045.743858,209145.7036,NPD,NPD,174868.7797,501593.6604,12597.53913,21219.04744,Interfered,NPD,Interfered,3598.48527,2488.816084,10906.76706,Interfered,2795.249745,<LOD,NPD,NPD,<LOD,NPD,3036.972576,Interfered,Interfered,<LOD,15528.5068,<LOD,1357.834678,<LOD,NPD,NPD,116500.0974,NPD,NPD,2866.775506,<LOD,3684.046984,7053.133212,<LOD,2521.473216,365045.452,8088.127778,3387.887089,<LOD,21439.64559,<LOD,NPD
,3,1851242.748,2456480.68,2427488.409,3188657.237,735356.6261,457124.5923,345476.1105,339121.4544,787455.128,297767394.2,1857470.887,36778.35091,NPD,Interfered,NPD,1255726.489,153287.5717,7335.655668,1274412.927,77092.03094,25087.95723,222685283.1,80449.2648,22036.15197,447694.7819,39848.31659,NPD,<LOD,1644825.405,56201.01904,1217818.584,6223.702064,<LOD,158047.1318,NPD,7023.002517,104674.8163,57342.56593,53939.00964,NPD,Interfered,16757.63453,1718.665608,19989.22361,<LOD,72411.77632,4178.527359,Interfered,3548.297393,<LOD,NPD,NPD,<LOD,NPD,<LOD,Interfered,Interfered,NPD,40518.61047,45434.59272,6572.349229,NPD,<LOD,NPD,106271.0586,8704.406073,6723.219705,<LOD,<LOD,<LOD,418663.9588,NPD,2416.18957,458673.7825,Interfered,NPD,1719.066193,NPD,NPD,<LOD
,4,2209364.051,2317994.399,2611892.627,3541428.743,823861.3546,705917.5578,339612.8474,364220.3574,908293.0617,62478805.65,2237235.727,46234.04877,Interfered,NPD,NPD,10649.37924,45939.84747,30670.70128,450120.481,55506.74138,9804.984186,1202562.654,3034.429243,179009.6678,NPD,NPD,6072.766043,16489.71292,1834935.682,33458.53848,33625.37839,NPD,78691.38428,69211.36494,3359.258393,21424.59582,47263.13808,54710.54817,55804.34174,5417.268452,Interfered,22498.94858,4720.092005,Interfered,NPD,<LOD,25062.2342,65998.93263,2328.151116,NPD,11778.01523,NPD,57548.42715,NPD,<LOD,Interfered,Interfered,11187.58084,707096.14,8264.346668,1122.418008,<LOD,142356.5255,2799.467622,NPD,NPD,3815.023392,3043.224461,<LOD,<LOD,<LOD,NPD,NPD,432406.0502,Interfered,<LOD,<LOD,8543.469204,15233.78821,NPD
,5,2277864.693,2759578.819,2486648.442,3600665.583,849414.8963,571586.3821,395394.9139,411408.0313,923331.5683,45515420.55,2135686.082,23571.15946,NPD,NPD,NPD,16365.46705,24366.32566,13358.39401,197275.0971,108351.0659,7058.918203,481988.4823,26194.80586,309032.2114,NPD,NPD,22197.46476,NPD,1821378.984,20307.1938,32407.60511,NPD,448574.2822,NPD,NPD,<LOD,<LOD,43345.08769,51923.82708,NPD,NPD,9026.792619,NPD,Interfered,<LOD,Interfered,Interfered,10782.18622,2088.816811,NPD,NPD,<LOD,NPD,NPD,Interfered,Interfered,Interfered,NPD,NPD,16824.55911,1480.891123,NPD,<LOD,2663.111218,168538.7345,<LOD,NPD,8331.891961,6086.450411,4625.146407,<LOD,2504.609449,<LOD,513824.7269,3032.728355,2914.124905,<LOD,9566.134784,1600.126172,2629.016221
,6,1978700.4,2476720.754,1905368.166,2974545.116,771109.1829,477701.2832,336001.1442,295047.6636,802568.4766,67269957.01,1964322.822,35943.76217,NPD,NPD,NPD,236171.7655,261572.0345,18553.61833,493392.0328,50957.51036,NPD,367418.6966,21188.39891,99988.25853,<LOD,NPD,8056.5358,7494.934351,1769374.265,247551.8376,42642.06095,<LOD,90945.01378,NPD,NPD,Interfered,<LOD,44073.47217,26318.70607,NPD,5909.460348,4878.604365,3044.266069,Interfered,NPD,2410.335262,11709.46066,Interfered,<LOD,NPD,NPD,NPD,4294.895003,2163.682718,5182.404236,Interfered,Interfered,NPD,NPD,21865.62889,1718.902869,NPD,NPD,NPD,119356.882,<LOD,NPD,8305.419073,NPD,NPD,<LOD,2512.589882,NPD,430458.7157,Interfered,NPD,5491.618671,12422.9953,1574.546647,<LOD
,7,1603772.851,1875588.441,1442438.908,2492038.384,577816.7415,490465.0113,236950.0566,278779.235,593826.9947,35610913.14,1234736.726,55151.96848,12092.17047,NPD,NPD,112086.0894,9655.055158,11451.39771,243584.2339,174411.5647,NPD,321290.8363,31079.69352,20338.97747,<LOD,<LOD,NPD,5733.568523,1301392.234,6026.785655,19433.58776,2540.151454,60488.17657,1691.188287,NPD,Interfered,2142.443772,96712.87477,25436.64226,NPD,NPD,NPD,<LOD,Interfered,<LOD,NPD,6308.653796,Interfered,<LOD,5772.278768,NPD,74747.15265,NPD,4512.296944,NPD,Interfered,Interfered,NPD,67632.14957,33392.76741,<LOD,NPD,4019.79764,3870.730291,107662.3896,4328.248119,<LOD,2826.182863,9889.004551,4900.077164,NPD,NPD,NPD,320103.1603,3693.498874,<LOD,3764.904637,NPD,<LOD,NPD
,8,1356355.343,1471957.88,1189366.703,1793880.157,425284.4008,375599.4651,210832.8965,212443.9044,463173.8103,30869271.82,1287935.299,,NPD,NPD,NPD,332615.4902,70517.96318,9199503.688,349742.0757,518425.3716,NPD,47205.04752,155064.1045,50135.45025,381101.7522,31595.89328,NPD,NPD,972081.1875,3490.238926,<LOD,<LOD,44646.80972,NPD,NPD,Interfered,NPD,31846.47409,75353.83579,3935.704182,NPD,6766.309622,1758.802974,Interfered,7755.505153,2880.836548,74846.02374,Interfered,<LOD,7821.550961,97727.43893,12850.32301,NPD,NPD,NPD,Interfered,Interfered,NPD,63894.12943,<LOD,NPD,NPD,2596.014853,2040.628069,116688.5919,4303.189879,6582.748843,NPD,<LOD,NPD,25606.19998,2333.709634,NPD,239091.7754,NPD,13012.27439,3498.847371,7809.172213,<LOD,2434.349287
,9,992774.0281,1266855.183,1197548.955,1751464.661,359910.3647,296054.5834,204123.2795,192819.8935,469557.4241,108525333.1,1150278.133,54492.68291,NPD,8575.346535,NPD,30158.17198,63646.84715,121103.4926,422223.9045,180149.5305,NPD,52424.99083,11569.97637,35767.83384,8408.257425,<LOD,NPD,6339.250869,870594.0411,28561.65502,<LOD,3120.189238,55910.20121,NPD,NPD,Interfered,<LOD,21104.20156,47114.04586,4425.346297,NPD,NPD,4269.573589,Interfered,14183.84435,Interfered,NPD,Interfered,2137.72446,NPD,11925.08874,13112.39024,NPD,1954.248042,5157.746495,Interfered,Interfered,45036.98503,35654.15514,24300.8746,1201.772302,<LOD,3466.138975,NPD,29258.97063,NPD,NPD,5361.167175,<LOD,<LOD,<LOD,2177.187656,NPD,232730.8396,Interfered,2554.029521,4618.599082,NPD,1368.486074,NPD
,10,1086760.901,1117970.627,1138165.375,1514596.14,311969.2961,294466.2935,178550.8049,189490.6744,416062.6702,36169233.47,972225.856,21730.08809,NPD,NPD,NPD,694960.4943,50107.94564,Interfered,277835,70103.64147,NPD,32912.63288,4880.559218,43365.5404,23751.58007,13229.75114,NPD,<LOD,784082.9076,30936.67588,8137.917051,125169.8212,36306.21573,11019.14556,69357.04142,NPD,9987.581617,6914.746645,14343.84761,Interfered,NPD,Interfered,NPD,Interfered,NPD,Interfered,3624.092803,NPD,14783.66605,NPD,24432.75213,NPD,8807.6863,NPD,NPD,8524.357168,Interfered,11909.23319,80469.99307,<LOD,<LOD,<LOD,<LOD,NPD,41236.04213,NPD,<LOD,4194.608775,NPD,NPD,NPD,NPD,25327.27867,212392.7899,Interfered,NPD,NPD,NPD,<LOD,<LOD
,11,1155860.749,1097010.311,1012614.272,1372405.159,284631.6501,292238.4526,134283.6369,131136.397,303742.9541,15894595.09,951439.7387,17362.47814,NPD,<LOD,6485.176598,79589.75374,46908.22361,53281.11427,150676.4321,205831.0665,<LOD,33262.54587,9654.939211,36429.66101,14530.76831,<LOD,NPD,7645.645231,757465.7482,18579.15453,<LOD,83632.15248,161260.3487,8593.197154,7655.040205,NPD,7730.168682,4901.979649,3045.588244,NPD,NPD,NPD,1602.98859,<LOD,<LOD,Interfered,6491.084498,NPD,2978.221911,5478.954999,13095.38797,NPD,7363.863918,2773.244321,Interfered,Interfered,<LOD,<LOD,59755.43352,<LOD,1880.572667,NPD,NPD,1897.148339,48259.37115,NPD,<LOD,4862.947954,<LOD,NPD,<LOD,NPD,2225.226142,127133.8851,Interfered,NPD,2996.450873,4790.571857,<LOD,NPD
,12,1385262.174,1270319.593,1272473.514,1663527.831,164196.7373,386001.0722,173098.8958,142756.0528,413117.0458,15013099.5,1072920.345,16410.98008,4258.950438,NPD,NPD,4174.901058,<LOD,Interfered,1766999.462,96886.17742,NPD,29039.93129,7327.063574,26121.15549,NPD,<LOD,NPD,NPD,874425.0671,6580.189745,NPD,NPD,73562.64475,NPD,5232.180443,NPD,1531.766903,22131.56858,2091.185732,NPD,Interfered,NPD,<LOD,<LOD,8647.902963,Interfered,NPD,Interfered,NPD,<LOD,NPD,NPD,<LOD,76211.91209,Interfered,Interfered,Interfered,NPD,35980.70073,15589.83625,10487.1316,NPD,40615.89436,NPD,17406.51054,3596.891886,NPD,3972.149823,<LOD,4057.898911,<LOD,2527.356819,4039.995181,157876.2403,NPD,NPD,5228.493684,NPD,NPD,NPD
,13,1818654.91,1591484.608,1690136.302,1606702.818,140648.8744,377966.7195,274839.2138,302055.7456,630046.0801,<LOD,1347447.851,203983.9163,241370.6034,396600.8924,277944.9191,2084.927948,NPD,178307.7284,19719.53658,NPD,319568.062,310834.7339,126226.6711,256167.2004,256544.5971,314620.9311,151599.9503,366673.6555,852229.2008,171643.0366,334121.2303,176928.6793,507080.9379,111039.916,NPD,221249.7033,73481.66346,108615.706,NPD,33994.11398,468307.3166,368413.0797,64031.52978,<LOD,294905.6812,153902.4768,95524.2093,109050.3335,203961.6295,169672.1173,152414.9319,224685.675,100838.681,109504.9397,60689.9781,295386.182,Interfered,307074.5603,816937.3294,183975.2059,67663.85028,193049.7214,57164.02691,2779.820163,45781.06964,77909.93217,108835.5841,177509.3139,450841.5738,120806.6462,127471.4712,73314.20912,94657.95839,362264.9942,90014.80756,60955.36826,83611.15341,157475.8394,20218.43244,91647.38965
20240910_07,1,2473305.618,3143571.049,2567494.671,3010296.068,970422.0699,630002.815,484067.7214,451495.9114,998029.8435,49000.60457,2102564.82,267145.0246,149738.0891,227834.6959,Interfered,<LOD,11060.14416,158271.6506,NPD,54348.50607,161701.4864,238478.2252,119398.9857,122136.8406,163058.3727,168162.2892,107477.2641,194879.0222,1739440.164,213463.846,217515.7533,149095.3885,302773.2067,61798.81819,112524.7255,155732.0154,42281.71018,204868.0255,27500.97131,28913.79613,307051.9718,Interfered,41431.21755,Interfered,172900.417,45173.76709,65666.59609,Interfered,135422.689,99559.39247,100877.3104,143851.8828,60292.35071,66910.9698,59065.81956,Interfered,111588.2002,191195.9837,551385.9214,140893.9608,89619.69671,103291.6203,49645.39144,78199.8125,216257.8688,58575.85049,86746.26928,116437.7134,199695.7123,90318.51547,83322.8138,69551.88036,65778.09716,624701.3125,58542.80127,57993.61629,25830.3373,85781.79926,15460.34871,55088.28236
